Площадь,Количество комнат,Этаж,Количество этажей в доме,Цена,Адрес,Изображения,Описание,S3_изображения,Количество_фото
62.0,1,7,16,86000,"Никитинская улица,31к2","['avatars.mds.yandex.net/get-realty-offers/12728172/1314fb19-f75f-4a5b-8bc0-de2cf689a1b1/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/13053830/36c3c938-67ab-481b-afff-dd211f19fb1d/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/13853239/f8ce404b-76eb-4b41-8337-c33000ac16c8/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16386144/2979b985-3e1a-41cb-9445-61ea00eda2b4/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/18345797/8d267005-c772-4887-a6b6-d2502411e39e/app_snippet_large']","Сдаётся 1-комнатная квартира площадью 62 кв.м. с дизайнерским ремонтом на 7 этаже в 16-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Посудомоечная машина  Пылесос Дом - монолитный, окна","['s3://realty-images/flats/327/image_1.jpg', 's3://realty-images/flats/327/image_2.jpg', 's3://realty-images/flats/327/image_3.jpg', 's3://realty-images/flats/327/image_4.jpg', 's3://realty-images/flats/327/image_5.jpg']",5
47.0,1,8,25,77000,Мещерский лес,"['avatars.mds.yandex.net/get-realty-offers/17716653/26d271b2-82d5-451d-a35f-43da1760646e/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17716653/9b861b91-0396-4cd0-86fd-603324eaa868/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14785354/ffb54d8e-cae3-46ef-84f1-e2dd1884af09/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/18870748/30f3ea12-089f-44ff-aa5a-1c06c4ec8b32/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15480901/d1db809a-3590-4cce-bc27-6c1dd7133605/app_snippet_large']","Сдаётся 1-комнатная квартира площадью 47 кв.м. с косметическим ремонтом на 8 этаже в 25-этажном доме на срок от 11 месяцев. Из техники есть:  Духовой шкаф  Стиральная машина  Холодильник  Посудомоечная машина  Кондиционер Дом - монолитный, окна","['s3://realty-images/flats/328/image_1.jpg', 's3://realty-images/flats/328/image_2.jpg', 's3://realty-images/flats/328/image_3.jpg', 's3://realty-images/flats/328/image_4.jpg', 's3://realty-images/flats/328/image_5.jpg']",5
37.0,1,1,3,50000,Жилой район «Борисоглебское»,"['avatars.mds.yandex.net/get-realty-offers/14885322/a0f7cea9-f5e8-4e4c-abc3-69ca28f64685/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/19856232/8553d81b-b8b1-4a9a-a747-9a310a8c623e/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/11431992/ff375686-a17e-4b27-be94-35fe0b4ee7e6/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15438525/558b2541-a85f-4554-82a7-7f862e8782e5/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14671802/abf44352-33aa-4281-a261-c4dcda1801d0/app_snippet_large']",". Аптека и поликлиника в шаговой доступности. . Детские сады и школы в пешей доступности. . Остановки общественного транспорта в нескольких минутах ходьбы. Удобное расположение в тихом районе, где можно наслаждаться спокойствием и соседством с","['s3://realty-images/flats/329/image_1.jpg', 's3://realty-images/flats/329/image_2.jpg', 's3://realty-images/flats/329/image_3.jpg', 's3://realty-images/flats/329/image_4.jpg', 's3://realty-images/flats/329/image_5.jpg']",5
40.0,1,22,39,120000,ЖК «Режиссер»,"['avatars.mds.yandex.net/get-realty-offers/14546183/7894da84-934d-4b63-815f-72390b5bdcaa/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/12691177/44ee9393-15de-4565-872b-aedcc8d1d91f/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/11402321/9e7346cb-cb13-494d-93cb-ad9d03a1bd19/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15174711/13305745-61c9-45c8-8881-659a3ed8f2e2/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14385517/14bf37fc-c60c-493c-896d-7ff8754106c2/app_snippet_large']",Сдаётся 1-комнатная квартира площадью 40 кв.м. с евроремонтом на 22 этаже в 39-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Посудомоечная машина  Кондиционер  Микроволновка Дом -,"['s3://realty-images/flats/330/image_1.jpg', 's3://realty-images/flats/330/image_2.jpg', 's3://realty-images/flats/330/image_3.jpg', 's3://realty-images/flats/330/image_4.jpg', 's3://realty-images/flats/330/image_5.jpg']",5
36.0,1,7,24,80000,Холланд парк,"['avatars.mds.yandex.net/get-realty-offers/14671802/8a3c51ad-ce7b-4be8-a76a-7169c980ab9d/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17764720/303bc183-7c2a-40cb-8125-647f9289e099/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16149937/a3eca9ff-7ad1-48e2-8e1a-c4bc991cc2cc/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14785354/2c18e31b-8701-475f-9244-27394ee1db4b/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/18141612/43374354-56b8-463a-950a-4a25acb823e7/app_snippet_large']","Id 61766. Сдается 1-комнатную квартиру, 36 м, на длительный срок. Москва, СЗАО, ул. Николая Озерова, 8к1. ЖК «Holland park» Предлагается в аренду светлая и уютная квартира с современным ремонтом в монолитном доме. Квартира полностью готова к","['s3://realty-images/flats/331/image_1.jpg', 's3://realty-images/flats/331/image_2.jpg', 's3://realty-images/flats/331/image_3.jpg', 's3://realty-images/flats/331/image_4.jpg', 's3://realty-images/flats/331/image_5.jpg']",5
38.0,1,6,17,72000,"улица Гончарова,15","['avatars.mds.yandex.net/get-realty-offers/19513189/935792c0-0a0b-4977-a788-643348a98ee3/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/10238482/51023fcc-e465-47bc-9ad5-d0133f43cf46/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15216618/7e69e1d7-e104-4c5e-a0d4-9301112782a7/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14744021/69885c0d-fe39-44e0-9ae6-7e6c67d17bd1/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15389651/1c22b93b-e92e-4052-9fc7-27647b6d387f/app_snippet_large']",Заезд возможен с 21.04.2026. Сдаётся 1-комнатная квартира площадью 38 кв.м. с косметическим ремонтом на 6 этаже в 17-этажном доме на срок от 11 месяцев. Из техники есть:  Духовой шкаф  Стиральная машина  Холодильник  Посудомоечная машина,"['s3://realty-images/flats/332/image_1.jpg', 's3://realty-images/flats/332/image_2.jpg', 's3://realty-images/flats/332/image_3.jpg', 's3://realty-images/flats/332/image_4.jpg', 's3://realty-images/flats/332/image_5.jpg']",5
36.0,1,21,22,93500,Грин парк,"['avatars.mds.yandex.net/get-realty-offers/13844304/0d0e6ed1-aae5-4f92-99d5-978b7fbf846a/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14819877/952c81d0-c1a5-4419-83c0-c077b8c28d97/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/10501146/cd24b468-822e-44c4-ba72-57f49642fbba/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17783839/db2fd046-abaa-41e4-b308-544e4b7d32f7/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16386144/bfe43184-ec75-4fff-a4e9-5693ceb9b235/app_snippet_large']",Сдаётся 1-комнатная квартира площадью 36 кв.м. с евроремонтом на 21 этаже в 22-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Посудомоечная машина  Кондиционер  Микроволновка Дом -,"['s3://realty-images/flats/333/image_1.jpg', 's3://realty-images/flats/333/image_2.jpg', 's3://realty-images/flats/333/image_3.jpg', 's3://realty-images/flats/333/image_4.jpg', 's3://realty-images/flats/333/image_5.jpg']",5
32.0,1,5,5,87500,"Калибровская улица,22Б","['avatars.mds.yandex.net/get-realty-offers/14854196/f0304a1b-e903-4606-86a4-fa627afb46eb/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14671802/e5857ae3-2856-455c-a0fe-27b195e3fdcf/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15587458/5afba24f-5b66-424b-afdc-00ff4f835499/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16153614/76107c75-a1a0-4543-84ac-3f6b2c6928eb/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15165363/f0e4181a-237b-45bb-838e-d8e3168725aa/app_snippet_large']","Сдаётся 1-комнатная квартира рядом с метро Марьина Роща Квартира после ремонта, ранее не сдавалась. Есть всё необходимое для проживания:  комната с диваном, кроватью, шкафом и телевизором;  кухня с техникой (духовка, плита, микроволновка,","['s3://realty-images/flats/334/image_1.jpg', 's3://realty-images/flats/334/image_2.jpg', 's3://realty-images/flats/334/image_3.jpg', 's3://realty-images/flats/334/image_4.jpg', 's3://realty-images/flats/334/image_5.jpg']",5
36.0,1,13,24,106500,Холланд парк,"['avatars.mds.yandex.net/get-realty-offers/11909678/1312ac4d-5eb7-4ed7-a8cb-4e5f4f2bb19b/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14202382/9abb9640-7f57-4077-918b-ba812d23c00e/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16258130/ec993661-d158-43ed-beaa-40e69e21c03c/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16795949/b66c51a4-0f2e-4899-83ae-44de04cfd885/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16258130/782ab9c7-0b0a-4280-8325-0b020b835886/app_snippet_large']",Сдаётся 1-комнатная квартира площадью 36 кв.м. с дизайнерским ремонтом на 13 этаже в 24-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Стиральная машина  Холодильник  Посудомоечная машина  Кондиционер  Микроволновка Дом -,"['s3://realty-images/flats/335/image_1.jpg', 's3://realty-images/flats/335/image_2.jpg', 's3://realty-images/flats/335/image_3.jpg', 's3://realty-images/flats/335/image_4.jpg', 's3://realty-images/flats/335/image_5.jpg']",5
33.0,1,9,24,97500,Апарт-комплекс «Новоданиловская 8»,"['avatars.mds.yandex.net/get-realty-offers/14717586/df8a797a-6d75-44e6-ad2a-18b7dc9c751f/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14919148/0c3c4c70-ec0d-4925-8931-2ee138302dcb/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16146422/3ae4beb0-bcb2-4fa4-a1a7-0b3030c0cb4c/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16445801/f8542401-d46b-425d-ab1f-094cd7b2e124/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16293048/9b586739-bfef-428e-b274-7a7d5b32fa6e/app_snippet_large']",Сдаётся 1-комнатная квартира площадью 33 кв.м. с косметическим ремонтом на 9 этаже в 24-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Посудомоечная машина  Кондиционер  Микроволновка,"['s3://realty-images/flats/336/image_1.jpg', 's3://realty-images/flats/336/image_2.jpg', 's3://realty-images/flats/336/image_3.jpg', 's3://realty-images/flats/336/image_4.jpg', 's3://realty-images/flats/336/image_5.jpg']",5
41.0,1,13,14,127500,"проспект Вернадского,21к2","['avatars.mds.yandex.net/get-realty-offers/14106973/672f682a-061c-466b-8101-fff30c14f914/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/13745081/7c8a8aeb-25a7-400c-a496-b2b112dfbf4b/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14807254/3b5a2856-3528-4d21-905c-2943986afed3/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/11502720/26381305-00ea-4b21-bce8-5f8abf35a34c/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15216618/bafee0b7-06ae-403c-b6e5-b3dba997e314/app_snippet_large']",Сдаётся 1-комнатная квартира площадью 41 кв.м. с дизайнерским ремонтом на 13 этаже в 14-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Кондиционер  Микроволновка  Пылесос Дом -,"['s3://realty-images/flats/337/image_1.jpg', 's3://realty-images/flats/337/image_2.jpg', 's3://realty-images/flats/337/image_3.jpg', 's3://realty-images/flats/337/image_4.jpg', 's3://realty-images/flats/337/image_5.jpg']",5
35.0,1,8,9,87500,"улица Мельникова,27","['avatars.mds.yandex.net/get-realty-offers/16293048/ea0652d1-c684-4fa4-bda1-617ffd78f42e/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16293048/b1394d82-9e22-4772-8c1d-e797080adee6/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14919148/ecf0c0f2-345d-4f13-a298-281ca64eff93/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16293048/0fab81f7-5c47-420b-b620-c3abbda926bb/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16293048/409779d2-c442-4345-a5e0-c699c7e2a2e8/app_snippet_large']",Сдаётся 1-комнатная квартира площадью 35 кв.м. с косметическим ремонтом на 8 этаже в 9-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Сушильная машина  Холодильник  Микроволновка  Пылесос Дом -,"['s3://realty-images/flats/338/image_1.jpg', 's3://realty-images/flats/338/image_2.jpg', 's3://realty-images/flats/338/image_3.jpg', 's3://realty-images/flats/338/image_4.jpg', 's3://realty-images/flats/338/image_5.jpg']",5
38.0,1,34,44,72000,ЖК «ART»,"['avatars.mds.yandex.net/get-realty-offers/12719313/73b59ee6-a4c2-42db-bd7b-0c7161cf0227/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14546183/978859c9-48d1-4657-bf8e-4fa08264c6b9/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15204576/8d42c0ff-db66-46ae-b001-0236eda00419/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/11402321/f573a76e-f55f-4c84-af25-4d6e746dbbc0/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16506707/f0b9e226-3f98-45a5-87e7-36c4c128e760/app_snippet_large']","Заезд возможен с 25.03.2026. Квартира сдаётся с Яндекс Арендой, а значит всё для вас: - без залога; - без единоразовой комиссии; - с поддержкой от наших специалистов в процессе проживания. Мы можем показать вам квартиру онлайн  это так же детально,","['s3://realty-images/flats/339/image_1.jpg', 's3://realty-images/flats/339/image_2.jpg', 's3://realty-images/flats/339/image_3.jpg', 's3://realty-images/flats/339/image_4.jpg', 's3://realty-images/flats/339/image_5.jpg']",5
42.0,1,8,18,265000,ЖК «Слава»,"['avatars.mds.yandex.net/get-realty-offers/14918728/add.1b6b914512605dda1a2bd3ffd1ea986a.realty-api-vos/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14293020/add.5a3d8db730ab60c18602e59235cfb754.realty-api-vos/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14814928/add.649d734f9c97a1ed983175f13c0c0b83.realty-api-vos/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14789826/add.8b41673cdcbb0f4e2a10423f6f046a42.realty-api-vos/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15229691/add.e8ab25ee95075165ea43ee93dc0f72d5.realty-api-vos/app_snippet_large']","Стильные и лаконичные апартаменты в центре Москвы! Дизайнерский ремонт, минимализм и приятная глазу цветовая гамма в интерьере этой квартиры позволит вам расслабиться и отдохнуть от шума мегаполиса. В квартире для вашего комфорта: большая двуспальная","['s3://realty-images/flats/340/image_1.jpg', 's3://realty-images/flats/340/image_2.jpg', 's3://realty-images/flats/340/image_3.jpg', 's3://realty-images/flats/340/image_4.jpg', 's3://realty-images/flats/340/image_5.jpg']",5
29.4,1,8,9,55000,"улица Верхние Поля,27с2","['avatars.mds.yandex.net/get-realty-offers/16445801/29bc2dc4-a18d-4729-91aa-3b62b13f2bfc/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16153614/2d53e5be-99db-45df-b9f4-c8db3ec0af35/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16408927/59f95f73-555e-4ca8-8bba-980709cc6b44/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17711177/e21da016-1920-4e02-98e9-7f899ad8807a/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15541712/dc0c68e1-3e84-42cf-a6aa-f13256810586/app_snippet_large']","Лот квартира №275151. ВЫГОДА - Без залога - Платите арендный платеж картой любого Банка, кредитной/дебетовой и получайте бонусы в соответствии с условиями Банка - Без комиссии УСЛОВИЯ - Минимальный срок аренды 11 мес. - Можно с детьми - Без животны","['s3://realty-images/flats/341/image_1.jpg', 's3://realty-images/flats/341/image_2.jpg', 's3://realty-images/flats/341/image_3.jpg', 's3://realty-images/flats/341/image_4.jpg', 's3://realty-images/flats/341/image_5.jpg']",5
40.0,1,9,9,89500,"Старомарьинское шоссе,11","['avatars.mds.yandex.net/get-realty-offers/14912514/f06c44a4-63a4-4065-981c-31e9e285c8d9/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14912514/e5837f4a-5d17-41bf-bfab-09dab7289337/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15352718/8ba5bbc3-901d-48cf-966c-c20f5ffbf15c/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16444596/400b6bda-9877-47b8-b427-aa0cb3c6ede6/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14112972/0564732c-d973-4720-895b-2d5b2cfdf609/app_snippet_large']","Сдаётся 1-комнатная квартира площадью 40 кв.м. с дизайнерским ремонтом на 9 этаже в 9-этажном доме на срок от 11 месяцев. Из техники есть:  Духовой шкаф  Стиральная машина  Холодильник Дом - кирпичный, окна выходят во двор. В подъезде 1 лифт - 0","['s3://realty-images/flats/342/image_1.jpg', 's3://realty-images/flats/342/image_2.jpg', 's3://realty-images/flats/342/image_3.jpg', 's3://realty-images/flats/342/image_4.jpg', 's3://realty-images/flats/342/image_5.jpg']",5
31.0,1,9,25,61000,Люблинский парк,"['avatars.mds.yandex.net/get-realty-offers/16444596/8251d87d-9389-4581-a1f6-5b6a1d92e4f7/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14773815/2d50f738-85c7-4f1e-8f8e-f15d7455d421/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14785354/07561710-e090-4efa-b8b1-7854da391699/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17824425/e8771a75-5b45-4ab9-a876-c133d5c70d95/app_snippet_large']","Лот квартира №66590. ВЫГОДА - Без залога - Платите арендный платеж картой любого Банка, кредитной/дебетовой и получайте бонусы в соответствии с условиями Банка - Без комиссии УСЛОВИЯ - Минимальный срок аренды 6 мес. - Можно с детьми - Без животных -","['s3://realty-images/flats/343/image_1.jpg', 's3://realty-images/flats/343/image_2.jpg', 's3://realty-images/flats/343/image_3.jpg', 's3://realty-images/flats/343/image_4.jpg']",4
40.0,1,1,14,79000,"Уржумская улица,3к1","['avatars.mds.yandex.net/get-realty-offers/14773815/5692f846-96dd-4997-accf-d287ae6532e8/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16861619/738c6a5e-a27f-4c21-b61e-fd566942dfbf/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16861619/1ca4368e-b682-4136-8b59-70a79086d464/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/13920606/ac03a94a-04b0-41d4-b1c4-ab4006fa2a97/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16861619/35abb07a-df02-47f7-aaa2-0beec040499a/app_snippet_large']","Сдаётся 1-комнатная квартира площадью 40 кв.м. с косметическим ремонтом на 1 этаже в 14-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Посудомоечная машина  Микроволновка  Пылесос Также,","['s3://realty-images/flats/344/image_1.jpg', 's3://realty-images/flats/344/image_2.jpg', 's3://realty-images/flats/344/image_3.jpg', 's3://realty-images/flats/344/image_4.jpg', 's3://realty-images/flats/344/image_5.jpg']",5
51.0,1,17,20,130500,ЖК «Квартал 38А»,"['avatars.mds.yandex.net/get-realty-offers/16408927/927b9786-4399-497a-9c75-31ad477f9b3d/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14824781/cfa54e59-57f7-4d8c-ac33-f42c1bd6b9fa/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14918728/82212df2-1b41-467e-89af-83541a6c5b13/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/18734988/50a99095-a970-4c0e-9f70-6dba31cf44f6/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/19509862/60412b0c-ac0c-4554-9d34-60ce180145e9/app_snippet_large']",Сдаётся 1-комнатная квартира площадью 51 кв.м. с евроремонтом на 17 этаже в 20-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Духовой шкаф  Холодильник  Кондиционер  Микроволновка Дом - монолитный. Коммунальные услуги по счетчикам,"['s3://realty-images/flats/345/image_1.jpg', 's3://realty-images/flats/345/image_2.jpg', 's3://realty-images/flats/345/image_3.jpg', 's3://realty-images/flats/345/image_4.jpg', 's3://realty-images/flats/345/image_5.jpg']",5
64.0,1,9,11,127000,"Кутузовский проспект,2/1к1А","['avatars.mds.yandex.net/get-realty-offers/17720277/15072e2f-2aa1-4ab2-8b15-41ad71db42f3/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16506707/fc84011d-d0c7-4324-82b4-3a5aaa9fd39b/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14773815/eb3fc905-f4ed-4610-90a2-afc23b5a366e/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17711177/d52406e5-c61d-43cc-babf-0f6643dd92ce/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14919148/2173202f-4b35-4245-a61c-8e4299564f33/app_snippet_large']","Id 61375. АПАРТАМЕНТЫ В СТАЛИНСКОЙ ВЫСОТКЕ Представляем уникальную возможность аренды квартиры в одном из самых знаковых зданий столицы  знаменитой Сталинской высотке, объединенной с гостиницей «Украина». Это не просто жилье, а статусное расположение","['s3://realty-images/flats/346/image_1.jpg', 's3://realty-images/flats/346/image_2.jpg', 's3://realty-images/flats/346/image_3.jpg', 's3://realty-images/flats/346/image_4.jpg', 's3://realty-images/flats/346/image_5.jpg']",5
35.0,1,14,20,125500,ЖК «WOW»,"['avatars.mds.yandex.net/get-realty-offers/14363166/32847aaa-0f05-4bd0-a706-0b25c0f3b02b/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14276751/8437452a-8dde-44c9-b747-4b18b5cd7448/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15540911/65fbe8c4-e6b6-41b2-83de-956ff8834a11/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14112972/3a387682-1a46-4c89-8d9c-817a55b6b2ef/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/13971415/638a312a-fe46-412e-a85d-b3bd3309d732/app_snippet_large']","Сдаётся 1-комнатная квартира площадью 35 кв.м. с дизайнерским ремонтом на 14 этаже в 20-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Микроволновка Дом - монолитный, окна выходят во","['s3://realty-images/flats/347/image_1.jpg', 's3://realty-images/flats/347/image_2.jpg', 's3://realty-images/flats/347/image_3.jpg', 's3://realty-images/flats/347/image_4.jpg', 's3://realty-images/flats/347/image_5.jpg']",5
44.0,1,8,27,109000,ЖК «Рихард»,"['avatars.mds.yandex.net/get-realty-offers/14773815/cc01a868-7dd0-4261-8b62-fec7cfc94ca3/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16444596/ff2f6597-7654-4f97-ba8b-63813418440d/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17711177/1c5a2c56-1f5c-49b3-849a-8f5d2ea3a7a1/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14773815/46340f16-3af4-47a4-807c-17206454d5a0/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/18101215/3d2604eb-8fc4-403b-9b5b-58aea941e3d4/app_snippet_large']",Сдаётся 1-комнатная квартира площадью 44 кв.м. с дизайнерским ремонтом на 8 этаже в 27-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Посудомоечная машина  Кондиционер  Микроволновка,"['s3://realty-images/flats/348/image_1.jpg', 's3://realty-images/flats/348/image_2.jpg', 's3://realty-images/flats/348/image_3.jpg', 's3://realty-images/flats/348/image_4.jpg', 's3://realty-images/flats/348/image_5.jpg']",5
58.7,1,8,22,130000,ЖК «Форт Кутузов»,"['avatars.mds.yandex.net/get-realty-offers/16258130/7fc574f2-0ea0-450e-a566-a33391bfaa92/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/18141612/10ec2579-a962-415c-9ae1-fc7a4cffe4ab/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/20092291/6cc147c7-c64e-4f80-8ebb-02e1b0155ff0/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/18061256/0c82642e-9733-44bc-8d5a-d7cd325531d7/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14671802/c18ee881-33ca-4abd-b4b8-bcd5fa983be1/app_snippet_large']","Арт. 129672412 Предлагаем вашему вниманию в аренду евро-двухкомнатную квартиру в жилом комплексе бизнеc-класса ""Форт Кутузов"" , общей площадью 60 кв.м. , расположенную всего в 15 мин пешком от метро ""Славянский бульвар"". Жилье полностью готово к","['s3://realty-images/flats/349/image_1.jpg', 's3://realty-images/flats/349/image_2.jpg', 's3://realty-images/flats/349/image_3.jpg', 's3://realty-images/flats/349/image_4.jpg', 's3://realty-images/flats/349/image_5.jpg']",5
32.0,1,11,28,82500,Амурский парк,"['avatars.mds.yandex.net/get-realty-offers/15165363/99ee66f1-fbfd-4368-b471-1e74979bb463/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/13053830/e1665a75-6ee2-40ef-a90f-497d9e77187d/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16506707/6aeb7250-8896-4549-9f4f-3883de9dd5a8/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16215124/58196092-a726-43aa-82c5-edba5836085f/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/13745223/f9e3af59-eeaa-429d-ba64-c0cdbee71559/app_snippet_large']","Сдаётся 1-комнатная квартира площадью 32 кв.м. с евроремонтом на 11 этаже в 28-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Посудомоечная машина  Микроволновка Дом - монолитный, окна","['s3://realty-images/flats/350/image_1.jpg', 's3://realty-images/flats/350/image_2.jpg', 's3://realty-images/flats/350/image_3.jpg', 's3://realty-images/flats/350/image_4.jpg', 's3://realty-images/flats/350/image_5.jpg']",5
